分析文本,积极情感,消极情感,sentiment,confidence
 给一分的脑残死全家。,0.243473,0.756527,0,0.458948
 影片真的不错，故事情节鲜明，剧情紧张结局又很意外，几个主角演得都超棒，给个满分。,0.998967,0.00103331,2,0.997704
         好好看，剧情紧凑，大家可以来看看。,0.849596,0.150404,2,0.66577
         和老婆去看的，好不好看无所谓，感觉可以就可以了。,0.816393,0.183607,2,0.591985
         不错，我带着妈妈去看的，妈妈也说很好看！,0.986344,0.013656,2,0.969653
         很好看，期待续集！虽然故事是战争片，但还是值得一观。,0.98118,0.01882,2,0.958178
         非常好，动作、剧情很好！，可以推荐给朋友,0.997553,0.00244678,2,0.994563
         好,0.747981,0.252019,2,0.439958
         还不错，我是纯粹来看颜的，真心不错，超好看！,0.977033,0.0229673,2,0.948962
         重头到尾，没想到男女主演演技这么棒。,0.869509,0.130491,2,0.71002
         很好看，剧情也很吸引人，值得推荐的电影。,0.992244,0.00775572,2,0.982765
         相当不错啊，很满意~,0.996875,0.00312539,2,0.993055
         这是一部表现中国红军敢死队真实故事的影片，以全新的视角去描述80年前那段鲜为人知的故事，在枪林弹雨中不乏笑点。,0.924339,0.075661,2,0.831865
         还可以吧，虽然有些俗套，但还是吸引的。,0.723949,0.276051,2,0.386553
         第一次给电影写影评，就是冲着何育骏第一次看首映，不说多好看，至少我觉得是蛮好看的。,0.906823,0.0931774,2,0.792939
         情节很简单，有的地方有点脱节，但是战争片还是可以的。,0.706373,0.293627,2,0.347496
         好看，作为一个不是粉的人，感觉还行。,0.630906,0.369094,2,0.17979
         非常好看，太赞了。,0.97481,0.0251902,2,0.944022
         非常不错的一部电影，场景很美，不错不错！,0.999211,0.000789405,2,0.998246
         作为一部成本不算高，明星阵容也算不得不耀眼的中小级别片子，看点或许除了故事本身的完整度和亮点之外，还应该有演员的表现。可以说《绝战》在这几点的综合考量算是及格了。,0.10309,0.89691,0,0.770911
         简直完美，何育骏演技大赏，台词句句经典，谁说战争片不好看了?,0.163371,0.836629,0,0.636953
         影片好看，外加搞笑的成分，紧张之余还有所缓解。,0.902808,0.0971916,2,0.784019
         剧情紧凑，整部电影还不错，情节很明确。,0.842659,0.157341,2,0.650352
         很振奋人心的片子，不错。,0.930691,0.069309,2,0.84598
         这个还是不错的，剧情什么的还是挺好的。,0.863067,0.136933,2,0.695705
         比较轻松 拍的很好 男主演选得好！,0.992174,0.00782586,2,0.982609
         叔叔的国民党团长简直棒，开场的红酒舞很有感觉，阿姨的细妹简直太感人。,0.923177,0.0768231,2,0.829282
         虽不是明星大腕，但演的不错，感情很到位！效果不错，不难想象拍摄时的艰辛！,0.983523,0.0164773,2,0.963384
         很精彩的电影，赞一个@！,0.981437,0.0185635,2,0.958748
         好样的！,0.649401,0.350599,2,0.22089
         怀着忐忑的心情去看这个片子，以为会从头抢战到尾，没想到片子还是挺有创意的，特别是影片结尾大家都感动了！,0.976918,0.0230818,2,0.948707
 一个偏向武术动作，一个偏向文艺，二者结合的结晶。拍摄出来的影片一定要支持。,0.936003,0.0639971,2,0.857784
         还可以，看的比较揪心，感觉一环扣一环的，国产战争算是拍的比较好的了。,0.671169,0.328831,2,0.269263
         震撼人心的人性光辉，飞人的大爱无疆，和平来之不易，且行且珍惜。,0.683885,0.316116,2,0.297521
         故事讲的很饱满，一道道的机关很刺激，节奏很紧凑。一部好的电影，不一定会被更多的人欣赏到，但是，欣赏到的人，一定不会失望的。,0.925128,0.074872,2,0.833618
         宁化儿女虽身处山区却给予革命最大的支持。很感人！,0.870557,0.129443,2,0.712349
         挺不错了，值得一看你！！,0.941398,0.0586022,2,0.869773
         看完再改,0.322881,0.677119,0,0.282487
         多少张荧幕才能将画面重现？军人在期待，喜欢军人的我们也在期待！当我们走进影院的那一刻，我们需要震耳欲聋的枪炮声，我们需要旗帜的引导！《绝战》值得观看！,0.98342,0.0165795,2,0.963157
         在看《太阳的后裔》时，很多女生都被宋仲基撩妹技术给折服了。一个军人竟会如此撩妹可以向《绝战》学习。,0.533323,0.466677,1,0.333533
         想看，但家附近的电影院没有上映这部片子，开的场次又少，看来是无缘看了。,0.173292,0.826708,0,0.614907
         刚开始知道这部剧的时候，我是不太明白绝战到底讲的是什么样的一个故事，想约朋友一同看了之后，不得不说故事剧情的各种梗简直了，何育骏一改之前形象，王岚还是这么漂亮。,0.546228,0.453772,1,0.0754332
         不只为剧情，更为演员好评。只是电影看完能让人心情好！,0.848376,0.151624,2,0.663057
         演员演技棒!何育骏也很帅，必须要支持一下！,0.996394,0.0036065,2,0.991986
         很喜欢这部电影，有悬疑有刺激、有自私、有温情。过程刺激扣人心弦，节奏感不拖沓。结局出乎意思，而且首尾呼应。最喜欢男主张启明和女主细妹互动。,0.994466,0.00553414,2,0.987702
         都说中国拍不出好的战争片，但只要还有导演还在努力，而我便会去看，不好看也坦然，期待！,0.706077,0.293923,2,0.346839
         影片好看情节很明确，外加爱情成分，紧张之余还有所缓解。,0.974568,0.0254318,2,0.943485
