分析文本,积极情感,消极情感,sentiment,confidence
 主题曲真好听啊，爱如阳光,0.80192,0.19808,2,0.559822
         影片以一名八路军女战士“苗子”（彭丹 饰）的日记和心路历程为线索，描述了在那段激情燃烧的岁月里，在轰轰烈烈的大生产运动中，杂糅了革命英雄主义与浪漫主义的战地爱情故事。,0.693114,0.306886,2,0.318031
         一看海报就惊叹，艺术字“草泥马”写的真好～ 光这名字也该打5分！！！,0.539596,0.460404,1,0.208076
         共产党在执政后，让中国成为光荣的“无毒国家”；国民党政权虽然好坏也名义上统一过全国，但在执政期间中国却变成了世界第一毒品生产国和消费国，溃败后还顺带造就了世界最大毒品产地。从这个角度看，谁更值得表扬谁更应该被唾骂，是再怎么也清楚不过的事情了。,0.141896,0.858104,0,0.684675
         我想红…,0.435213,0.564787,0,0.0328594
 没看，也没打算看，不过受不了那些没看就凭空打分的，平衡一下,0.313283,0.686717,0,0.303817
 彭丹牛逼！,0.45856,0.54144,1,0.171202
         挺感人的，不要因为是红色电影就不想看啊,0.459464,0.540536,1,0.189274
         怎么现在日本人也雇水军了么,0.242979,0.757021,0,0.460048
         原来抗战期间某支神奇部队在种大烟啊。感谢导演还原历史真相。就冲这份勇气，全5分,0.892554,0.107446,2,0.761232
 我是水军,0.381559,0.618441,0,0.152092
