分析文本,积极情感,消极情感,sentiment,confidence
 混蛋，不是说好了“隔江而治”的嘛！,0.263811,0.736189,0,0.413753
         得多无耻才拍这种内战电影,0.306887,0.693113,0,0.318028
         舔朝电影，欢迎吐槽。,0.616186,0.383814,2,0.147081
         就因为渡了江，所以~~~~,0.821123,0.178877,2,0.602496
"         看别人打一星,我也打,so easy",0.17558,0.82442,0,0.609823
         好讨厌这种题材的片子！,0.251223,0.748777,0,0.441727
         明显是南京！南京！,0.471018,0.528982,1,0.420353
         “对面就是国民党反动政府的首都南京” 听到这句台词我果断一星！真是贼喊捉贼，现在拍电影的人把脸都不要了？,0.0387303,0.96127,0,0.913933
         彻彻底底的悲剧啊,0.17404,0.82596,0,0.613245
         呕吐！呕吐！,0.324875,0.675125,0,0.278056
         为什么没0分？,0.129119,0.870881,0,0.713069
         怎么没有零分,0.207434,0.792566,0,0.539036
 光看剧情简介——“……而已在对岸矶头山防守的黄怀恩备战之余，仍沉浸，在消灭渡江的解放军之后迎娶荷花的幻想之中……”，就知道这片子的主题了！艹！以后单位里面混，要记住，站错了队伍，等于把自己的女人拱手送给对手！国产内战片子，就从来没搞懂人性和内涵是个什么东西！传统战争观100年不变！,0.839946,0.160054,2,0.644325
         抗日！抗日！,0.557959,0.442041,2,0.0176859
         你们不要把分打得这么低好不好？！,0.0318394,0.968161,0,0.929246
 读奖，读奖,0.585693,0.414307,2,0.0793188
         00！XX！,0.558107,0.441893,2,0.0180164
         能不能不要再浪费纳税人的钱了,0.0438822,0.956118,0,0.902484
          垃圾一陀 ,0.0735658,0.926434,0,0.83652
         哥拒绝评论,0.363653,0.636347,0,0.191881
         特地来打一星凑个热闹！,0.215534,0.784466,0,0.521036
         ………………,0.305409,0.694591,0,0.321313
         我是这高达96.1%一星的一员。,0.214649,0.785351,0,0.523002
         稀烂的电影,0.423327,0.576673,0,0.0592739
         虽然没看过 但是1星,0.586283,0.413717,2,0.080628
         傻逼片可还行。。。,0.470798,0.529202,1,0.415967
         我就来凑个热闹,0.56731,0.43269,2,0.0384662
         恶心,0.0759257,0.924074,0,0.831276
         垃圾捧臭脚,0.0728745,0.927125,0,0.838057
         尼玛逼这剧情简介就JB恶心到出翔 这得多不要脸才能拍出这种电影啊,0.0125268,0.987473,0,0.972163
         没看，只是觉得两党之争，自己人打自己人实在没必要拍出来...,0.0713589,0.928641,0,0.841425
         酱油!酱油!,0.413751,0.586249,0,0.080553
         无力吐槽这种给党拍马屁的电影,0.11589,0.884109,0,0.742466
         没看过 打个一星吧~,0.301241,0.698759,0,0.330575
 没看，直接打分,0.301811,0.698189,0,0.329308
         不死，不死,0.481851,0.518149,1,0.637027
         渡你麻痹。。我没看，不过我就想吐槽你的片名，渡你妹夫！ ,0.134883,0.865117,0,0.70026
         需要理由吗？,0.148291,0.851708,0,0.670463
         【UNCLEJ0KER】活体傻逼在乱吠,0.300544,0.699456,0,0.332125
 看到剧情简介就想大笑三声,0.475313,0.524687,1,0.506256
         需要解释么。现在舔菊花，舔的还这么欢。,0.562696,0.437304,2,0.0282122
         转自1楼回复：可恨可叹委员长，当年怎么就没能阻止他们过江！,0.121332,0.878668,0,0.730372
         o(╯□╰)o,0.40857,0.59143,0,0.0920671
         炮火中的渡江战役，让人心痛的内战。真不是那么难看至极，可见愤青还是太多了。,0.0750934,0.924906,0,0.833126
         豆瓣一星神片，可当恐怖片观看,0.223545,0.776455,0,0.503234
         评分惨不忍睹啊，过不了多久就会被取消评分了。。,0.0258623,0.974138,0,0.942528
         一星 so easy,0.216058,0.783942,0,0.51987
 我经常在想，公产党如果战败，锅民党上台的话中国会不会更加强大，至少言论可以自由吧！,0.735164,0.264836,2,0.411476
 节操呢？,0.415433,0.584567,0,0.0768164
 土匪渡江，万民遭殃。PS：没看过片，也不想看！,0.269913,0.730087,0,0.400194
"         我想知道豆瓣最低分是不是2.2 有没有2,0啊",0.413948,0.586052,0,0.0801166
         为什么设定中小姑娘一定是喜欢解放军的人？,0.532553,0.467447,1,0.348935
         看着得分这么低，也来踩一下,0.319703,0.680297,0,0.289549
         怎么拍的那么假大空,0.460063,0.539936,1,0.201269
