分析文本,积极情感,消极情感,sentiment,confidence
 电影确实不好，但是更厌恶一群叫嚣什么反洗脑，什么真相大白的人。恶心。这五分是给毛泽东的。不是给电影的。,0.00727681,0.992723,0,0.983829
         就是看不惯你们打一颗星的,0.343232,0.656768,0,0.237262
         好看。那些喷子只会看小时代。,0.899029,0.100971,2,0.77562
         国产动画的良心之作。人设写实，对白生动，片尾还有连环画风格的绘图~ 历史细节考究，通道会议每个人的座次都准确还原，泽东受恩来邀请列席会议，在旁边单独坐了个小板凳咧。,0.973897,0.0261026,2,0.941994
         一次湘江之战就葬送了五万将士的鲜活生命，第五次反围剿以来也已经打了一年多的败仗，中国工农红军仅剩3万多，如何跳出敌人的层层包围？怎么办？毛主席的四渡赤水犹如神来之笔，一着棋下活了满盘棋，终于使红军胜利地跳出了敌人的包围圈，为红军保存了革命的火种！,0.856834,0.143166,2,0.681854
"         超燃的一部片子啊,音乐好好听,有点郁可唯的感觉~",0.886735,0.113265,2,0.748301
         就画质就能看出良心所在，主旋律也能成为黑点也是够了，而且剧情很尊重史实，拍片少本身就是一大损失。还有就是根本宣传就很少，别天天yy有人硬性要求去看好吗，打一星的你们摸摸良心说说看有人逼你们看了吗，也不看看长评这么多五星的（不过你们想黑口碑永远找得到点，毕竟你们早就没有认识历史的心）,0.107213,0.892787,0,0.761749
         写实风格的动画，在如今的商业片中稍稍与众不同。近乎白描的艺术手法，力求真实还原历史的同事，插入很多萌萌的小情节。很多自以为叛逆的人大概会带着挑剔的眼光去看，或者压根就“不屑”去看，就画上一颗星。这种心理，只能呵呵。抛开历史题材，但从动画电影艺术的角度，很多人会不会放弃无谓的偏见？,0.733934,0.266066,2,0.408742
         没看过就打一星，什么心态？,0.121546,0.878454,0,0.729899
         就你们那点知识储备还好意思喊洗脑，你们都不配！！！！,0.0451977,0.954802,0,0.899561
 凭良心,0.480427,0.519573,1,0.608544
         说什么洗脑，那你有没有想过你现在这种意识形态怎么又不是西方演变的结果，看看你不懈于此，你当真爱你的国家吗？想想这些就知道是谁在洗脑，又是谁被洗脑。,0.00584791,0.994152,0,0.987005
         不解释。。。,0.117138,0.882862,0,0.739693
         革命尚未成功，同志仍需努力啊~,0.852855,0.147145,2,0.67301
         额。这个，那个，好吧,0.60365,0.39635,2,0.119223
         掩盖真相的结果是自作自受，但是爱国强国是我们的毕生追求,0.255442,0.744558,0,0.43235
