分析文本,积极情感,消极情感,sentiment,confidence
 理由人尽皆知～如果拍得烂正好打一星，如果拍得好反而更加祸害人那更要打一星！无论如何都是一星！,0.00362324,0.996377,0,0.991948
         很有诚意的僵尸片巨制,0.630431,0.369569,2,0.178736
 先免费送你一颗星，不谢,0.359633,0.640367,0,0.200816
 庞家《雷锋的故事》院线版,0.497502,0.502498,1,0.950049
         为什么没零分负分可打,0.182811,0.817189,0,0.593754
 这种片子给一星都脸红。,0.186241,0.813759,0,0.58613
         套路钱还他妈拿出来,0.258529,0.741471,0,0.425492
         电影难看还必须强打精神不能睡的这是第一部，所以当年对这片子印象特别深,0.195223,0.804777,0,0.566172
         吓到我了,0.500735,0.499265,1,0.985306
         我从未见过如此厚颜无耻，黑白颠倒之人。,0.409565,0.590435,0,0.0898555
         人生目标给所有的主旋律电影打零分,0.524249,0.475751,1,0.515019
         一星拿好,0.475448,0.524552,1,0.508965
         你妈逼的，负分！公司观影任务，不得不看。,0.216326,0.783674,0,0.519276
         对于这类电影，一律一星伺候,0.341815,0.658185,0,0.240411
         我就想知道为什么主席是一口标准的普通话，而老蒋却要说方言？,0.336354,0.663646,0,0.252546
         不是不報 時候未到,0.124841,0.875159,0,0.722577
         四渡赤水出奇兵,1,0,1,1
         某种意义,0.539719,0.460281,1,0.205616
         小图吓尿！！,0.233058,0.766942,0,0.482094
         竟然是动画片。。。,0.275199,0.724801,0,0.388447
 茅台的这个广告植入太。。。,0.250231,0.749768,0,0.44393
         原来豆瓣可以打0分？,0.3557,0.6443,0,0.209556
         哈哈,0.889247,0.110753,2,0.753882
         度你妈,0.322621,0.677379,0,0.283065
 真相早晚大白,0.279604,0.720396,0,0.378658
         建军大业不给评分，跑这里来了。,0.212504,0.787496,0,0.527768
         不错的片子，值得一看,0.921926,0.0780736,2,0.826503
         辣鸡无耻烂片,0.433621,0.566379,0,0.0363984
         Undying适合于出肉装，在阵地战很无解，它的大招可以给队友提供很好的帮助，尤其是团战的时候，绝对是一个打乱阵型的英雄。,0.968789,0.0312114,2,0.930641
 动画小清新……,0.558756,0.441244,2,0.0194579
         零分……不解释,0.138915,0.861085,0,0.6913
         助攻,1,0,1,1
         好片子，很有教育意义，值得推广,0.840347,0.159653,2,0.645215
         这是蒋委员长？我还以为是天津饭……,0.313379,0.686621,0,0.303603
         就这还要回去写心得,0.588448,0.411552,2,0.0854397
         讲真，针对这个人评分还是偏高的,0.12492,0.87508,0,0.722401
         腊肉,0.503434,0.496566,1,0.931322
 真恶心,0.0420196,0.957981,0,0.906623
 并没有尊重事实嘛,0.385775,0.614225,0,0.142723
         给画工打三星，其他负星，综合一星,0.277255,0.722745,0,0.383877
 它的票房都是党政机关学校包场来的吧,0.556539,0.443461,2,0.0145311
         国家还是钱多，有投资这个的钱修个学校可好？,0.208696,0.791304,0,0.536231
 什么水平的片子才能够格5星？那要多高的水平呀，整个中国电影史上也没几部吧。这些给5星的不是水军就是脑残【请正确认识自己】吧。冲着这些水军，必须强烈的给上1星.,0.0102084,0.989792,0,0.977314
         就画风来讲还是不错的,0.804078,0.195922,2,0.564618
         TCIBIC快完了。,0.699897,0.300103,2,0.333105
         不理解委员长的口音……,0.236855,0.763145,0,0.473657
 原画很不错，剧情太烂。狗血代表作。,0.774948,0.225052,2,0.499885
         自由,0.611542,0.388458,2,0.13676
         历史是有胜利者书写的,0.771631,0.228369,2,0.492513
         没有什么好说的，就是.........,0.257024,0.742976,0,0.428836
         不管怎么说，成王败寇，毛赢了就是赢了，至于片子嘛，爱看不看，大家能在这评论已经是进步了，知足吧,0.74257,0.25743,2,0.427932
         乐安 婆一安,0.536648,0.463352,1,0.267042
         以动画片来定义顶多值两分，不过也没某些人描写的那么恶心跟死了娘一样，豆瓣总有这么一群连键盘侠都比不了的伪文艺小清新，干货没多少 书没读几本，瞎逼逼很厉害。,0.0321314,0.967869,0,0.928597
         呵呵！,0.788316,0.211684,2,0.529592
 热评很牛，哈哈哈,0.816874,0.183126,2,0.593053
         还好吧，嘿嘿,0.818479,0.181521,2,0.59662
         我们整天在诅咒：“水军死全家。”但很显然水军们一直活的不错，能吃能喝能工作，到处都是他们勤奋努力的身影。你用在恶毒不堪的语言去攻击他估计也没什么用，他们早就练就金刚不坏的脸皮，波澜不惊的心脏。所以说实话这个世界勤奋的坏人就是活的很好，还很得意。,0.245528,0.754472,0,0.454381
         呵呵,0.725128,0.274872,2,0.389173
 刚看到隔壁热血雷锋侠的2.2分，我以为这就是终极了，直到我把屏幕往上滑了一下,0.423305,0.576695,0,0.0593225
 没看过,0.545929,0.454071,1,0.0814128
         政治色彩太严重,0.170677,0.829323,0,0.620719
         虽然垃圾，但是我也敬佩电影的创作团队，起码他们比什么都不做强多了,0.305413,0.694587,0,0.321304
         為什麼硬評一水的臨時操出來的水軍啊。,0.0483858,0.951614,0,0.892476
         怎么都这么不给面子,0.162314,0.837686,0,0.639303
 哈哈 简直傻逼,0.743185,0.256815,2,0.429299
         战争请远离儿童,0.42452,0.57548,0,0.0566215
