分析文本,积极情感,消极情感,sentiment,confidence
 人民有信仰，民族有希望，国家有力量。,0.710672,0.289328,2,0.357048
         党员活动 其实没必要反复强调信仰 太过刻意了 如果只是认认真真讲故事反而更好 生日快乐 谢谢你们,0.704658,0.295342,2,0.343685
         还行，革命故事,0.721512,0.278488,2,0.381139
 故事是好故事，但主旋律电影也不能这么直白，开始不到5分钟就把立意抛出来啊，过度粉饰只会让观众觉得智商受到挑战啊……,0.270238,0.729762,0,0.39947
电影该做的就是讲好一个故事，剩下的交给观众就好。,0.656562,0.343438,2,0.236805
五星给英雄，剧组减两星。,0.492238,0.507762,1,0.844766
         信仰怎么写？用鲜血来书写。,0.550482,0.449518,2,0.00107129
         虽说是类强制去电影院看，但精神和小女孩的自强不息是不一般的。,0.213525,0.786475,0,0.525501
         感染力还是挺强的，党内加固信仰比较好,0.755601,0.2444,2,0.45689
         不论电影怎么样，尹灵芝的事是真的，你们可以随意评价电影，但是当年牺牲的烈士你们没资格说三道四,0.205214,0.794786,0,0.54397
         还可以呀，哈哈哈哈哈,0.968586,0.0314139,2,0.930191
 第一次感受到这么触及灵魂的作品，我看了之后，对人生，对未来，对梦想又有了更多的想法。不瞒您说，我是一边哭一边爬着出来的，我太感动了，我都无法直立行走了。是很棒的国产电影。,0.995929,0.00407105,2,0.990953
         本系列下一部：党的儿子尹人参,0.713822,0.286178,2,0.364049
         人民有信仰，民族有希望。,0.596217,0.403783,2,0.102705
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈,0.981654,0.0183464,2,0.95923
         看哭了  太感人了 ,0.252938,0.747062,0,0.437915
 好片子！看完差点去写入党申请书！,0.558954,0.441046,2,0.0198982
         恐怖分子好像也喜欢这么洗脑,0.785916,0.214084,2,0.524257
 建议以后拍主旋律电影必须是大导演大投资，否则拍出来就是给党抹黑。,0.518421,0.481579,1,0.631572
         什么鬼，一分都不想给，我们自己靠自己工作养活自己，不是XXX养活的，手动再见,0.0654653,0.934535,0,0.854522
         概念海报抄袭Future专辑封面、预告片直接用盗梦空间配乐，信仰就是抄袭和拿来就用？这创作态度，一星我先打为敬。,0.0730898,0.92691,0,0.837578
         天呐！学了6年电影，看到此片忽然不懂什么叫电影了,0.49531,0.50469,1,0.906203
         真好看，没看过的朋友一定要去imax巨幕杜比厅看！,0.939309,0.0606906,2,0.865132
         哭着出来了，太好了,0.764863,0.235137,2,0.477473
 你放心的去吧,0.770186,0.229814,2,0.489301
         打5星，先不是为这部电影，而是致敬中国共产党。从建立走到今天，建立了新中国，经历了风风雨雨，现在还在四面楚歌的社会下拼死撑起一片天……还要养活一大群白眼狼，真的很不容易。中国共产党，95周岁生日快乐，为下一个95年敬你一杯。信念，中国，努力！！！,0.954368,0.045632,2,0.898595
         呵呵，请看续集:红色警戒恐怖分子的孙子:疯狂尹万,0.61948,0.38052,2,0.154401
         删老子评论,0.253395,0.746605,0,0.436901
 评论大半夜的笑出声,0.342203,0.657797,0,0.239548
         党的女儿肉灵芝,1,0,1,1
         鉴于尹灵芝同志的一生比较短暂，电影不可避免的平淡无趣，缺乏让人看下去的动力，流水账的叙事方式体现了编剧的无能，甚至一些设定的泪点都效果极差。,0.0404435,0.959557,0,0.910126
         党的女儿分明是刘胡兰。,0.443303,0.556697,0,0.0148818
         灵芝贵得很，电影贱得很。,0.603445,0.396555,2,0.118766
         太他妈感动了！哈哈哈哈哈哈哈哈哈哈哈哈哈,0.980713,0.0192871,2,0.95714
         姚安濂表现还是很不错的，毕竟老戏骨，编剧和导演就一言难尽。两星全给老戏骨。,0.864157,0.135843,2,0.698126
         真的好感动,0.917372,0.0826278,2,0.816383
         我不管，这种题材都是这个分数,0.276765,0.723235,0,0.384967
         她有生母吗？传说中的党妹？都什么年代了，还弄这种宣传片，和世界主流价值观完全脱节。,0.0839496,0.91605,0,0.813445
         实在没忍住，其实我没看过。。,0.300751,0.699249,0,0.331665
         你们这样对待生日献礼影片，真的好吗？,0.231742,0.768258,0,0.485017
         一星为敬！,0.245668,0.754332,0,0.454071
         绝对是可以载入史册的经典电影，看完深深的为共产党感到无限自豪与骄傲！人民万岁！,0.964786,0.0352135,2,0.921748
         党的儿子是不是叫饮人参啊,0.542729,0.457271,1,0.145428
         太好的作品了，我也看哭了,0.543653,0.456347,1,0.126938
 党的儿子里天一,0.634325,0.365675,2,0.187388
         还有尹人参，尹鹿茸........党的子孙世世代代永远不灭,0.454535,0.545465,1,0.090695
         舔菊片,0.529116,0.470884,1,0.417679
 把女英雄拍成尴尬癌,0.416746,0.583254,0,0.073897
         看到这片名果断进来打1星。,0.257118,0.742882,0,0.428626
         天啦撸，这是啥？？哈哈哈哈哈哈,0.695063,0.304936,2,0.322363
         好看,0.831904,0.168096,2,0.626454
         什么？肉灵芝？,0.17918,0.82082,0,0.601821
         我们都是党的小花朵。,0.595655,0.404345,2,0.101456
         垃圾，洗脑,0.0612118,0.938788,0,0.863974
         ......................这是抗日剧？,0.243147,0.756853,0,0.459673
         呵呵，少女被骗记！,0.796136,0.203864,2,0.546969
