分析文本,积极情感,消极情感,sentiment,confidence
 这是一部用了21天拍完打着党的献礼片的垃圾圈钱电影，导演组有去年上映《汽车人总动员》的坑爹山寨导演卓建荣，大家一起来抵制这种垃圾的垃圾作品。,0.00221566,0.997784,0,0.995076
         如果有负分我一定给负分，虽然我没有看，不去看的原因：第一，汽车人总动员导演卓建荣参与的，抄袭赛车总动员还死不承认 第二，所谓卓导与主演何什么的微博与网友对骂，人品问题 第三，我是迪士尼皮克斯的忠诚粉丝 ,0.0291865,0.970814,0,0.935141
         红34师宁化死守山谷题材，像《集结号》《狼牙山五壮士》山寨版，但前面红军突袭、小动物炸军火库、肉搏光膀子悍将、一见钟情扑到护士细妹热吻....狗血恋与粗糙战争，包括“人家还是黄花大闺女”雷人台词，后面到拍出点战士血性与壮烈牺牲。卓建荣制片被黑傻，其实他以前负分，这次好歹在烂片里有想法,0.0194135,0.980587,0,0.956859
         票房就别指望了，不过我们还可以卖给电影频道,0.482537,0.517463,1,0.650738
         我国的爱国主义教育片真是烂到家了，估计这辈子是赶不上美国了,0.125285,0.874715,0,0.72159
         我爱你卓导,0.584836,0.415165,2,0.0774123
 国产山寨烂片《汽车人总动员》的导演说这片子是他的新作品，这不知道又是从哪里抄来的。,0.106977,0.893023,0,0.762272
         主旋律拍成这样，导演可以去吃屎了,0.371129,0.628871,0,0.175269
         小刚有人抄你的《集结号》，那个人叫狗带卓建荣，不谢！,0.271157,0.728843,0,0.397429
         狗血恋爱戏还要套个红军外衣，也够恶心了，简直是侮辱红军先烈。,0.0360073,0.963993,0,0.919984
         如果有负分，我打负十！！！！！要不是党员要求看，我才不会看！剪辑烂，剧本烂，演技烂，演员甚至说不清楚台词，导演烂，都搞不清楚重点是什么，活生生的爱国主义教育片被拍成爱情搞笑片！最后的拍摄手法我以为自己穿越到了八十年代！简直烂过富春,0.0134006,0.986599,0,0.970221
"         还是少拍点国人杀国人的片子吧,都懂的",0.293606,0.706394,0,0.347542
         说好的爱国教育片呢？？？我可以打负分吗,0.169428,0.830572,0,0.623494
         抵制卓建荣人人有责！,0.474437,0.525563,1,0.488734
         烂到家了,0.114113,0.885886,0,0.746414
         草泥马！！！,0.427552,0.572449,0,0.0498856
         主旋律就是这么被祸祸完的，门槛太低，没经验的导演随便接戏,0.187416,0.812584,0,0.58352
         一颗星哈哈哈,0.505518,0.494482,1,0.889637
         特烂,0.222012,0.777988,0,0.50664
         呵呵,0.725128,0.274872,2,0.389173
         离导演最烂作品还可以有下降空间,0.503183,0.496818,1,0.936349
         还有比这个分更少的么？,0.304729,0.695271,0,0.322823
 又一部2.1,0.603949,0.396051,2,0.119887
         送给本片四个字：臭不要脸！,0.171256,0.828744,0,0.619432
         可以不给分吗？好好学习下地道战和地雷战好吗？都拍成啥样了。。。（捂脸 没眼看）,0.22338,0.77662,0,0.5036
         在烂片里有想法,0.552352,0.447648,2,0.00522653
         教你认一个字-官=2B=捉奸荣,0.443937,0.556063,0,0.0134725
         我祝给五分的脑残死全家,0.497821,0.502179,1,0.956428
 特效可以，就是人太少了，军队呀大哥，就那么几个人,0.586539,0.413461,2,0.0811981
         呵呵呵，删啊,0.540106,0.459894,1,0.19788
         听说是卓导的电影,0.595022,0.404978,2,0.10005
         抗日神剧代表大作,0.555378,0.444622,2,0.0119517
         冲卓建荣这个SB就可以给负分了,0.283541,0.716459,0,0.36991
         张启明进入敌人控制的县城真是如入无人之境啊，顺便还找个漂亮的女护士细妹谈谈恋爱……,0.809809,0.190191,2,0.577353
         说点啥好呢,0.615946,0.384054,2,0.146547
         凡是和卓建荣有关的影视作品都不能逃脱烂片的标签。,0.296234,0.703766,0,0.341702
         建军90年捧脚片，没价值，不好看,0.210073,0.789927,0,0.533172
         政教片为什么要票房？为什么不免费放映？说说说！！,0.14163,0.85837,0,0.685268
         只可惜豆瓣没有负分,0.372831,0.627169,0,0.171486
         竟然没有水军,0.173547,0.826453,0,0.614339
         看封面还以为是胡歌拍的。,0.503243,0.496757,1,0.935139
         卓建荣抄袭狗,0.352365,0.647635,0,0.216966
         电影号称以“湘江战役”为背景 ，看完才发现错了，实则是以”洗钱“为背景。,0.256577,0.743423,0,0.429829
         不得不说演员还是付出了最大的努力去演，可惜情节的雷人不比手撕鬼子弱多少。不过就算不计这些，就凭卓贱人三个字就够评个负分滚粗了,0.142963,0.857037,0,0.682305
         卓建荣个屄2养的,0.625546,0.374454,2,0.16788
         服了,0.39847,0.60153,0,0.114511
         这种电影更加值得唾骂,0.71307,0.28693,2,0.362377
         “在这样惨烈的战争下也体现柔情的一面”我袪你的!,0.489527,0.510473,1,0.790539
         男主小帅,0.485074,0.514926,1,0.70147
         一枚弃子的故事,0.707774,0.292227,2,0.350608
         1分收好不谢,0.358067,0.641933,0,0.204296
 卓导粉丝,0.58293,0.41707,2,0.0731776
 垃圾,0.0712529,0.928747,0,0.84166
         求卓导收了神通吧,0.316492,0.683508,0,0.296685
         雪山屄阴死妈我没损失,0.168882,0.831118,0,0.624706
装啥屄玩意破jb电影,0.202598,0.797402,0,0.549782
         水军真特喵的多,0.487589,0.512411,1,0.751782
         牛逼啊，票房已经到成本的1%了,0.381876,0.618124,0,0.151387
 感觉智商收到了侮辱,0.431663,0.568337,0,0.0407479
 0/1000000000000000000000000，卓建荣灵车漂移。,0.480605,0.519395,1,0.612106
         爱奇艺快点把它从付费电影中移除吧，这片还要付费才能看？,0.178642,0.821358,0,0.603018
         洗脑的垃圾，,0.0993103,0.90069,0,0.77931
         有关捉奸荣电影不解释，一颗星，代表我对你的父爱,0.14679,0.85321,0,0.6738
         还想骗人,0.198117,0.801883,0,0.55974
         1星收好,0.565492,0.434508,2,0.0344259
 身为皮克斯的粉，献上我的一星,0.453583,0.546417,1,0.0716597
         这咋还多了0.2分，谁干的？?  ?站出来！ ！ ！,0.0255184,0.974482,0,0.943292
         单位组织后天包场观看，一星预定,0.566152,0.433848,2,0.0358941
         为卓建荣献花圈，愿他安息别再诈尸恶心人了。,0.0383815,0.961619,0,0.914708
真是世风日下道德沦丧，中国的电影审查制度已成为卑鄙小人的肥沃土壤。,0.445908,0.554092,0,0.00909381
         豆瓣能有〇颗星吗？都烂成什么样了。搞的像情深深雨蒙蒙，大红军衣服光亮如新，男主摩丝很多，发型纹丝不乱，时刻跳入女主思春，不断给人出戏感。莫名其妙开始打光膀子男，最后一群人站在一起摆酷坐等坦克轰。不说了，槽点罄竹难书,0.02159,0.97841,0,0.952022
         捉奸荣导演制作,0.602623,0.397377,2,0.116939
         前面给一星说卖给电影频道的，他还强行卖给机关单位了！！！！！,0.0185584,0.981442,0,0.958759
         额，为电影名多给一星吧。。。,0.233218,0.766782,0,0.481739
         一星给迪士尼,0.325801,0.674199,0,0.275997
         想起了汽车人总动员,0.540673,0.459327,1,0.186549
         豆瓣史上最低分电影留名……,0.332779,0.667221,0,0.260492
         把拍这些装逼的钱放在教育、医疗上面，那是国家之幸,0.332746,0.667254,0,0.260563
 看到国际大导演卓建荣那张脸，怀着忐忑不安的心去搜了下票房：61万，瞬间释然了,0.662532,0.337468,2,0.250072
         为什么没有负分？！,0.0845745,0.915426,0,0.812057
         天啊，我想戳瞎双眼。,0.41668,0.58332,0,0.0740438
         天啊，我想戳瞎双眼。,0.41668,0.58332,0,0.0740438
         垃圾中的垃圾，超过1星的都不客观。,0.00141551,0.998585,0,0.996854
卓导我爱你。,0.588042,0.411958,2,0.0845378
         就凭“卓导”那臭不要脸的尿性，负分滚粗，不谢！,0.0319757,0.968024,0,0.928943
 呼吁大家抵制无良导演的烂片,0.128011,0.871989,0,0.715532
         制片里有只狗，真是不好意思，1星好走不送。,0.237681,0.762319,0,0.47182
         傻逼吧,0.448467,0.551533,0,0.003407
         听从大家的意见     给个一星让导演去吃屎吧,0.142424,0.857576,0,0.683503
         烂片,0.548926,0.451074,1,0.0214827
         说自己没抄袭敢死队，此地无银啊~~,0.331834,0.668166,0,0.262592
         催眠系列之-厥绽,0.679397,0.320603,2,0.287548
         拍这种东西出来是想侮辱观众还是侮辱钱啊？,0.123956,0.876044,0,0.724543
         凭制片人就可以给一星,0.489024,0.510976,1,0.780487
