分析文本,积极情感,消极情感,sentiment,confidence
 湘南起义是在大革命失败后，中国共产党人领导下的历时最长、参加人数最多、具有里程碑意义的武装起义，而电影《湘南起义》首次以影像的形式深入表现了这段鲜为人知的历史，填补了重大革命历史题材影视剧的空白，具有重大历史意义。      同时，影片还着力刻画了处于革命低潮时期，以朱德、陈毅为代表的,0.950925,0.049075,2,0.890945
         不要问我为什么给五分，你们看都没看就给一分是不是太不尊重别人的作品了？人物情感刻画的很到位，主演很棒好不好，群众演员也很棒好不好，都知道盯着镜头看，化妆都化一样的！多团结啊！我最起码看了10分钟！你们这些人为了给个最低分就都打一分，最低分是给小时代这种电影的而不是给历史抗战片的！,0.932734,0.0672656,2,0.850521
         这片子能在豆瓣存活，实属不易。,0.431502,0.568498,0,0.0411067
         不解释！必须五分！因为我没看过！而且是历史片！,0.296278,0.703722,0,0.341605
         强推 给5分,0.698923,0.301077,2,0.330941
         因为有坚定的革命信仰所以从没对革命丧失过信心，所以星星之火成燎原之势,0.549541,0.450459,1,0.0091815
         在网上看到是豆瓣最低的评分，故上来给拉拉分~,0.485992,0.514008,1,0.719837
         太好看了，给一星的人都是眼睛瞎了，脑子进水了，不看的人后悔终生,0.0688923,0.931108,0,0.846906
         没看过，但讨厌水B,0.212337,0.787663,0,0.528139
         豆瓣的文青们 别一天天就会在网上装逼 现实中跪舔领导比谁都积极,0.525599,0.474401,1,0.488013
         红色影片。,0.588365,0.411635,2,0.0852556
我们应该看看自己的历史。想一想我们国家是怎么来的。别天天嘚呗嘚呗好像自己是个懂电影的人，打一星的，其实就是忘本的家伙。,0.627609,0.372391,2,0.172464
 真是一部好电影，剧情跌宕起伏看得我热血澎湃,0.582907,0.417093,2,0.0731271
         跟风狗死全家,0.212912,0.787088,0,0.526861
         力荐！,0.793046,0.206954,2,0.540103
         哪个叛徒干的！？,0.362108,0.637892,0,0.195314
         我不服，我要给五星平衡一下。,0.760575,0.239425,2,0.467945
         我就喜欢打5星 你他妈打我啊,0.480282,0.519718,1,0.605634
         你们这群坏人,0.353654,0.646346,0,0.214103
         就是来破坏队形的,0.667979,0.332021,2,0.262176
         专业假正经二十年 耶,0.751501,0.248499,2,0.44778
 我只是可怜导演上来拉一下分。,0.128109,0.871891,0,0.715312
