分析文本,积极情感,消极情感,sentiment,confidence
 人民有信仰，民族有希望，国家有力量。,0.710672,0.289328,2,0.357048
         党员活动 其实没必要反复强调信仰 太过刻意了 如果只是认认真真讲故事反而更好 生日快乐 谢谢你们,0.704658,0.295342,2,0.343685
         还行，革命故事,0.721512,0.278488,2,0.381139
 故事是好故事，但主旋律电影也不能这么直白，开始不到5分钟就把立意抛出来啊，过度粉饰只会让观众觉得智商受到挑战啊……,0.270238,0.729762,0,0.39947
电影该做的就是讲好一个故事，剩下的交给观众就好。,0.656562,0.343438,2,0.236805
五星给英雄，剧组减两星。,0.492238,0.507762,1,0.844766
         信仰怎么写？用鲜血来书写。,0.550482,0.449518,2,0.00107129
         虽说是类强制去电影院看，但精神和小女孩的自强不息是不一般的。,0.213525,0.786475,0,0.525501
         感染力还是挺强的，党内加固信仰比较好,0.755601,0.2444,2,0.45689
         不论电影怎么样，尹灵芝的事是真的，你们可以随意评价电影，但是当年牺牲的烈士你们没资格说三道四,0.205214,0.794786,0,0.54397
         还可以呀，哈哈哈哈哈,0.968586,0.0314139,2,0.930191
